app_id;prompt;errors;warnings;error_descriptions;warning_descriptions
12740;instruction;0;0;;
12740;pd_zs;0;0;;
12740;pd_fs;0;0;;
12740;ref_instruction;0;0;;
14283;instruction;2;0;https://via.placeholder.com/40 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/375x180?text=Awesome+Content+Preview - Failed to load resource: net::ERR_NAME_NOT_RESOLVED;
14283;pd_zs;1;0;https://via.placeholder.com/60x60/f0f0f0/333?text=IMG - Failed to load resource: net::ERR_NAME_NOT_RESOLVED;
14283;pd_fs;0;0;;
14283;ref_instruction;2;0;https://via.placeholder.com/375x150/EEEEEE/9E9E9E?text=Link+Preview+Image - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/40 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED;
18782;instruction;0;0;;
18782;pd_zs;0;0;;
18782;pd_fs;0;0;;
18782;ref_instruction;0;0;;
20947;instruction;0;0;;
20947;pd_zs;0;0;;
20947;pd_fs;0;0;;
20947;ref_instruction;0;0;;
22151;instruction;0;0;;
22151;pd_zs;0;0;;
22151;pd_fs;0;0;;
22151;ref_instruction;0;0;;
27360;instruction;6;0;https://via.placeholder.com/60x60?text=Event1 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/60x60?text=Event2 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/60x60?text=Event3 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/60x60?text=Event4 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/60x60?text=Event5 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/60x60?text=Event6 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED;
27360;pd_zs;5;0;https://via.placeholder.com/64/4285F4/FFFFFF?text=E1 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/64/673AB7/FFFFFF?text=E3 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/64/FF5722/FFFFFF?text=E2 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/64/009688/FFFFFF?text=E4 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/64/FFC107/FFFFFF?text=E5 - Failed to load resource: net::ERR_NAME_NOT_RESOLVED;
27360;pd_fs;5;0;https://via.placeholder.com/375x180/FF5733/FFFFFF?text=Music+Festival - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/375x180/DAF7A6/333333?text=Community+Dinner - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/375x180/33FF57/FFFFFF?text=Tech+Summit - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/375x180/3357FF/FFFFFF?text=Farmers+Market - Failed to load resource: net::ERR_NAME_NOT_RESOLVED || https://via.placeholder.com/375x180/FFC300/333333?text=Art+Exhibition - Failed to load resource: net::ERR_NAME_NOT_RESOLVED;
